"","numero","refugio","municipio","direccion","uso_inmueble","servicios","capacidad","latitud","longitud","altitud","responsable","telefono","latitud_decimal","longitud_decimal"
"1-20.1",1,"PRIMARIA LABOR Y CONSTANCIA ","ACAPONETA ","LOPEZ RAYON","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"22°29'56.06""","105°21'37.27""",29,"DIR. ENRIQUE JIMENEZ LOPEZ.","CEL.-325-105-89-02",22.4989055555556,-105.360352777778
"1-20.2",2,"JARDIN DE NIÑOS LUIS CASTILLO LEDON","ACAPONETA ","ALDAMA ESQ CHAPULTEPEC","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°29'53.14""","105°21'29.48""",34,"MAYRA SILVIA","325-252-11-80",22.4980944444444,-105.358188888889
"1-20.3",3,"PRIMARIA CARMEN SERDAN","ACAPONETA ","E. CARRANZA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"22º30'00.43""","105°21'37.46""",30,"MA. LOPEZ CATON","325-251-16-40",22.5001194444444,-105.360405555556
"1-20.4",4,"PRIMARIA LAZARO CARDENAS","ACAPONETA ","AMADO NERVO ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°29'27.17""","105°21'39.68",30,"DIR. AZAEL AGUILAR","325-252-17-48",22.4908805555556,-105.361022222222
"1-20.5",5,"PRIMARIA H. AYUNTAMIENTO 1955","ACAPONETA ","VERACRUZ No.47","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",150,"22º29'40.21""","105ª21'40.23""",30,"AURORA BARRON MEDINA","325-251-02-82",22.4945027777778,-105.361175
"1-20.6",6,"PRIMARIA MIGUEL HIDALGO Y COSTILLA ","ACAPONETA ","MORELOS Y OAXACA","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",200,"22º29'23.26""","105ª21'41.99""",30,"ALBERTO VILLEGAS","325-252-09-16",22.4897944444444,-105.361663888889
"1-20.7",7,"PRIMARIA CENTRO ESCOLAR ","ACAPONETA ","MATAMOROS Y PUEBLA ","EDUCACION","AGUA, SANITARIOS Y LUZ ELECTRICA",250,"22º29'37.31""","105ª21'33.33""",30,"JORGE BURGUEÑO","325-252-01-57",22.4936972222222,-105.359258333333
"1-20.8",8,"SINDICATO CTM","ACAPONETA ","QUERETARO Y CORONA ","GREMIO SINDICAL","AGUA, SANITARIOS Y LUZ ELECTRICA",100,"22°29'39.32""","105°21'46.60",30,"JUAN DIEGO HERRERA ","PCM.-323-252-19-46",22.4942555555556,-105.362944444444
"1-20.9",9,"ESTADIO MUNICIPAL","ACAPONETA ","JUAN ESCUTIA ","DEPORTE ","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"22ª29'55.10""","105ª21'52.29""",30,"JOSE DOMINGO ROMERO ORTEGA ","325-2510748",22.4986388888889,-105.364525
"1-20.10",10,"CASA DE LA CULTURA ","ACAPONETA ","MORELOS  ","CULTURAL","AGUA, SANITARIOS Y LUZ ELECTRICA",300,"22ª29'20.78""","105ª21'46.46""",30,"MARIO RODRIGUEZ","PCM.-323-252-19-46",22.4891055555556,-105.362905555556
